row,column,message
23,Contract Expiry Date,Invalid date format (expected DD/MM/YYYY): 2026-10-11 00:00:00
23,Health Card Expiry,Invalid date format (expected DD/MM/YYYY): 2026-10-24 00:00:00
23,Allowed Overtime,Invalid numeric value.
24,Passport Expiry,Invalid date format (expected DD/MM/YYYY): 2031-09-27 00:00:00
24,ID Expiry,Invalid date format (expected DD/MM/YYYY): 2025-02-27 00:00:00
24,Date Of Birth,Invalid date format (expected DD/MM/YYYY): 1991-04-24 00:00:00
24,Health Card Expiry,Invalid date format (expected DD/MM/YYYY): 2026-10-24 00:00:00
24,Allowed Overtime,Invalid numeric value.
25,Passport Expiry,Invalid date format (expected DD/MM/YYYY): 2030-06-06 00:00:00
25,ID Expiry,Invalid date format (expected DD/MM/YYYY): 2026-01-09 00:00:00
25,Date Of Birth,Invalid date format (expected DD/MM/YYYY): 1994-10-01 00:00:00
25,Contract date,Invalid date format (expected DD/MM/YYYY): 2025-03-03 00:00:00
25,Contract Expiry Date,Invalid date format (expected DD/MM/YYYY): 2026-02-03 00:00:00
25,Health Card Expiry,Invalid date format (expected DD/MM/YYYY): 2026-10-24 00:00:00
25,Allowed Overtime,Invalid numeric value.
26,Passport Expiry,Invalid date format (expected DD/MM/YYYY): 2033-06-07 00:00:00
26,Date Of Birth,Invalid date format (expected DD/MM/YYYY): 1994-11-08 00:00:00
26,Joining Date,Invalid date format (expected DD/MM/YYYY): 2025-09-17 00:00:00
26,Contract date,Invalid date format (expected DD/MM/YYYY): 2025-09-17 00:00:00
26,Health Card Expiry,Invalid date format (expected DD/MM/YYYY): 2026-10-24 00:00:00
26,Allowed Overtime,Invalid numeric value.
27,ID Expiry,Invalid date format (expected DD/MM/YYYY): 2025-02-06 00:00:00
27,Date Of Birth,Invalid date format (expected DD/MM/YYYY): 1985-02-09 00:00:00
27,Joining Date,Invalid date format (expected DD/MM/YYYY): 2024-04-12 00:00:00
27,Contract date,Invalid date format (expected DD/MM/YYYY): 2024-12-28 00:00:00
27,Contract Expiry Date,Invalid date format (expected DD/MM/YYYY): 2026-12-27 00:00:00
27,Health Card Expiry,Invalid date format (expected DD/MM/YYYY): 2026-10-24 00:00:00
27,Allowed Overtime,Invalid numeric value.
28,Joining Date,Invalid date format (expected DD/MM/YYYY): 2025-01-12 00:00:00
28,Contract date,Invalid date format (expected DD/MM/YYYY): 2025-01-12 00:00:00
28,Health Card Expiry,Invalid date format (expected DD/MM/YYYY): 2026-10-24 00:00:00
28,Allowed Overtime,Invalid numeric value.
29,Date Of Birth,Invalid date format (expected DD/MM/YYYY): 1992-07-07 00:00:00
29,Health Card Expiry,Invalid date format (expected DD/MM/YYYY): 2026-10-24 00:00:00
29,Allowed Overtime,Invalid numeric value.
30,Passport Expiry,Invalid date format (expected DD/MM/YYYY): 2032-02-06 00:00:00
30,Date Of Birth,Invalid date format (expected DD/MM/YYYY): 1967-10-07 00:00:00
30,Joining Date,Invalid date format (expected DD/MM/YYYY): 2025-02-04 00:00:00
30,Health Card Expiry,Invalid date format (expected DD/MM/YYYY): 2026-10-24 00:00:00
30,Allowed Overtime,Invalid numeric value.
31,Passport Expiry,Invalid date format (expected DD/MM/YYYY): 2031-07-10 00:00:00
31,Date Of Birth,Invalid date format (expected DD/MM/YYYY): 1980-01-01 00:00:00
31,Health Card Expiry,Invalid date format (expected DD/MM/YYYY): 2026-10-24 00:00:00
31,Allowed Overtime,Invalid numeric value.
32,Joining Date,Invalid date format (expected DD/MM/YYYY): 2025-04-01 00:00:00
32,Contract date,Invalid date format (expected DD/MM/YYYY): 2025-03-03 00:00:00
32,Contract Expiry Date,Invalid date format (expected DD/MM/YYYY): 2026-02-03 00:00:00
32,Health Card Expiry,Invalid date format (expected DD/MM/YYYY): 2026-10-24 00:00:00
32,Allowed Overtime,Invalid numeric value.
33,ID Expiry,Invalid date format (expected DD/MM/YYYY): 2025-02-03 00:00:00
33,Health Card Expiry,Invalid date format (expected DD/MM/YYYY): 2026-10-24 00:00:00
33,Allowed Overtime,Invalid numeric value.
34,ID Expiry,Invalid date format (expected DD/MM/YYYY): 2025-11-10 00:00:00
34,Date Of Birth,Invalid date format (expected DD/MM/YYYY): 1991-04-07 00:00:00
34,Contract date,Invalid date format (expected DD/MM/YYYY): 2025-06-07 00:00:00
34,Contract Expiry Date,Invalid date format (expected DD/MM/YYYY): 2026-05-07 00:00:00
34,Health Card Expiry,Invalid date format (expected DD/MM/YYYY): 2026-10-24 00:00:00
34,Allowed Overtime,Invalid numeric value.
35,Joining Date,Invalid date format (expected DD/MM/YYYY): 2025-01-02 00:00:00
35,Contract date,Invalid date format (expected DD/MM/YYYY): 2025-03-03 00:00:00
35,Contract Expiry Date,Invalid date format (expected DD/MM/YYYY): 2026-02-03 00:00:00
35,Health Card Expiry,Invalid date format (expected DD/MM/YYYY): 2026-10-24 00:00:00
35,Allowed Overtime,Invalid numeric value.
36,Date Of Birth,Invalid date format (expected DD/MM/YYYY): 1994-10-05 00:00:00
36,Health Card Expiry,Invalid date format (expected DD/MM/YYYY): 2026-10-24 00:00:00
36,Allowed Overtime,Invalid numeric value.
37,Contract date,Invalid date format (expected DD/MM/YYYY): 2026-10-04 00:00:00
37,Contract Expiry Date,Invalid date format (expected DD/MM/YYYY): 2026-09-04 00:00:00
37,Health Card Expiry,Invalid date format (expected DD/MM/YYYY): 2026-10-24 00:00:00
37,Allowed Overtime,Invalid numeric value.
38,Passport Expiry,Invalid date format (expected DD/MM/YYYY): 2031-06-03 00:00:00
38,Date Of Birth,Invalid date format (expected DD/MM/YYYY): 2000-09-07 00:00:00
38,Contract date,Invalid date format (expected DD/MM/YYYY): 2025-08-01 00:00:00
38,Contract Expiry Date,Invalid date format (expected DD/MM/YYYY): 2026-07-01 00:00:00
38,Health Card Expiry,Invalid date format (expected DD/MM/YYYY): 2026-10-24 00:00:00
38,Allowed Overtime,Invalid numeric value.
39,Passport Expiry,Invalid date format (expected DD/MM/YYYY): 2031-01-09 00:00:00
39,Date Of Birth,Invalid date format (expected DD/MM/YYYY): 1996-01-12 00:00:00
39,Joining Date,Invalid date format (expected DD/MM/YYYY): 2024-02-11 00:00:00
39,Contract date,Invalid date format (expected DD/MM/YYYY): 2025-04-01 00:00:00
39,Contract Expiry Date,Invalid date format (expected DD/MM/YYYY): 2026-03-01 00:00:00
39,Health Card Expiry,Invalid date format (expected DD/MM/YYYY): 2026-10-24 00:00:00
39,Allowed Overtime,Invalid numeric value.
40,Passport Expiry,Invalid date format (expected DD/MM/YYYY): 25/06/20231
40,Joining Date,Invalid date format (expected DD/MM/YYYY): 2024-01-11 00:00:00
40,Health Card Expiry,Invalid date format (expected DD/MM/YYYY): 2026-10-24 00:00:00
40,Allowed Overtime,Invalid numeric value.
41,Passport Expiry,Invalid date format (expected DD/MM/YYYY): 2030-06-09 00:00:00
41,Date Of Birth,Invalid date format (expected DD/MM/YYYY): 1994-01-10 00:00:00
41,Joining Date,Invalid date format (expected DD/MM/YYYY): 2025-03-03 00:00:00
41,Contract date,Invalid date format (expected DD/MM/YYYY): 2025-03-03 00:00:00
41,Contract Expiry Date,Invalid date format (expected DD/MM/YYYY): 2026-02-03 00:00:00
41,Health Card Expiry,Invalid date format (expected DD/MM/YYYY): 2026-10-24 00:00:00
41,Allowed Overtime,Invalid numeric value.
42,Contract Expiry Date,Invalid date format (expected DD/MM/YYYY): 2026-12-19 00:00:00
42,Health Card Expiry,Invalid date format (expected DD/MM/YYYY): 2026-10-24 00:00:00
42,Allowed Overtime,Invalid numeric value.
43,Joining Date,Invalid date format (expected DD/MM/YYYY): 2024-05-09 00:00:00
43,Contract date,Invalid date format (expected DD/MM/YYYY): 2025-05-09 00:00:00
43,Contract Expiry Date,Invalid date format (expected DD/MM/YYYY): 2026-04-09 00:00:00
43,Health Card Expiry,Invalid date format (expected DD/MM/YYYY): 2026-10-24 00:00:00
43,Allowed Overtime,Invalid numeric value.
44,Date Of Birth,Invalid date format (expected DD/MM/YYYY): 1969-12-09 00:00:00
44,Health Card Expiry,Invalid date format (expected DD/MM/YYYY): 2026-10-24 00:00:00
44,Allowed Overtime,Invalid numeric value.
45,ID Expiry,Invalid date format (expected DD/MM/YYYY): 2027-05-08 00:00:00
45,Date Of Birth,Invalid date format (expected DD/MM/YYYY): 1987-02-01 00:00:00
45,Health Card Expiry,Invalid date format (expected DD/MM/YYYY): 2026-10-24 00:00:00
45,Allowed Overtime,Invalid numeric value.
46,Health Card Expiry,Invalid date format (expected DD/MM/YYYY): 2026-10-24 00:00:00
46,Allowed Overtime,Invalid numeric value.
47,Passport Expiry,Invalid date format (expected DD/MM/YYYY): 2031-12-11 00:00:00
47,Joining Date,Invalid date format (expected DD/MM/YYYY): 2025-10-01 00:00:00
47,Health Card Expiry,Invalid date format (expected DD/MM/YYYY): 2026-10-24 00:00:00
47,Allowed Overtime,Invalid numeric value.
48,Joining Date,Invalid date format (expected DD/MM/YYYY): 2024-04-12 00:00:00
48,Contract date,Invalid date format (expected DD/MM/YYYY): 2025-03-12 00:00:00
48,Contract Expiry Date,Invalid date format (expected DD/MM/YYYY): 2026-02-12 00:00:00
48,Health Card Expiry,Invalid date format (expected DD/MM/YYYY): 2026-10-24 00:00:00
48,Allowed Overtime,Invalid numeric value.
49,Health Card Expiry,Invalid date format (expected DD/MM/YYYY): 2026-10-24 00:00:00
49,Allowed Overtime,Invalid numeric value.
50,ID Expiry,Invalid date format (expected DD/MM/YYYY): 2025-07-05 00:00:00
50,Date Of Birth,Invalid date format (expected DD/MM/YYYY): 1993-09-09 00:00:00
50,Joining Date,Invalid date format (expected DD/MM/YYYY): 2024-12-21 00:00:00
50,Contract date,Invalid date format (expected DD/MM/YYYY): 2024-12-21 00:00:00
50,Contract Expiry Date,Invalid date format (expected DD/MM/YYYY): 2026-12-20 00:00:00
50,Health Card Expiry,Invalid date format (expected DD/MM/YYYY): 2026-10-24 00:00:00
50,Allowed Overtime,Invalid numeric value.
51,Health Card Expiry,Invalid date format (expected DD/MM/YYYY): 2026-10-24 00:00:00
51,Allowed Overtime,Invalid numeric value.
52,Date Of Birth,Invalid date format (expected DD/MM/YYYY): 1980-05-02 00:00:00
52,Health Card Expiry,Invalid date format (expected DD/MM/YYYY): 2026-10-24 00:00:00
52,Allowed Overtime,Invalid numeric value.
53,Date Of Birth,Invalid date format (expected DD/MM/YYYY): 1975-03-05 00:00:00
53,Health Card Expiry,Invalid date format (expected DD/MM/YYYY): 2026-10-24 00:00:00
53,Allowed Overtime,Invalid numeric value.
